form	lemma	POS	morph
༁		PUNCT
ྃ་		NON_WORD
༔		PUNCT
ཟབ་	ཟབ་	VERB
ཆོ་	ཆོ་	NOUN
ཞི་	ཞི་	VERB
ཁྲོ་	ཁྲོ་	VERB
དགོངས་པ་	དགོངས་པ་	VERB
རང་གྲོལ་	རང་གྲོལ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
༔		PUNCT
ལས་བྱང་	ལས་བྱང་	OTHER
ཆུང་བ་	ཆུང་བ་	VERB
ཚོར་བ་	ཚོར་བ་	VERB
རང་གྲོལ་	རང་གྲོལ་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
༔		PUNCT
ཞི་	ཞི་	VERB
ཁྲོ་	ཁྲོ་	VERB
འདུས་པ་	འདུས་པ་	VERB
འི་	གི་	PART
ལྷ་	ལྷ་	NOUN
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
༔		PUNCT
བདག་	བདག་	PRON
འདྲ་	འདྲ་	VERB
པདྨ་	པདྨ་	NOUN
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
ཀྱིས་	གིས་	PART
༔		PUNCT
སྐལ་ལྡན་	སྐལ་ལྡན་	ADJ
བློ་	བློ་	NOUN
དམན་	དམན་	VERB
དོན་	དོན་	NOUN
དུ་	ལ་	PART
ནི་	ནི་	NO_POS
༔		PUNCT
ཞི་	ཞི་	VERB
ཁྲོ་	ཁྲོ་	VERB
འདུས་པ་	འདུས་པ་	VERB
འི་	གི་	PART
ལས་བྱང་	ལས་བྱང་	OTHER
བསྟན་	བསྟན་	VERB
༔		PUNCT
འདི་	འདི་	DET
ལ་	ལ་	PART
ལེའུ་	ལེའུ་	NOUN
གསུམ་	གསུམ་	NUM
ཡིན་	ཡིན་	NO_POS
ཏེ་	སྟེ་	PART
༔		PUNCT
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
དངོས་གཞི་	དངོས་གཞི་	NOUN
རྗེས་	རྗེས་	NOUN
གསུམ་	གསུམ་	NUM
མོ་	གོ་	PART
༔		PUNCT
དང་པོ་	དང་པོ་	ADJ
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
ལ་	ལ་	PART
ཡང་	ཀྱང་	PART
གསུམ་	གསུམ་	NUM
༔		PUNCT
བཀའ་	བཀའ་	NOUN
བསྒོ་	བསྒོ་	NO_POS
མཚམས་	མཚམས་	NOUN
གཅོད་	གཅོད་	NO_POS
བྱིན་	བྱིན་	VERB
བརླབ་བོ་	བརླབ་བོ་	NO_POS
༔		PUNCT
ཏྱ་		NON_WORD
།		PUNCT
ཏ་	ཏ་	OTHER
།		PUNCT
ཡ་	ཡ་	NOUN
།༔		PUNCT
དང་པོ་	དང་པོ་	ADJ
བགེགས་	བགེགས་	NOUN
ལ་	ལ་	PART
བཀའ་	བཀའ་	NOUN
བསྒོ་བ་	བསྒོ་བ་	VERB
ནི་	ནི་	NO_POS
༔		PUNCT
ཧཱུྃ་		NON_WORD
༔		PUNCT
རང་ཉིད་	རང་ཉིད་	OTHER
ལྷ་	ལྷ་	NOUN
ཡི་	གི་	PART
ང་རྒྱལ་	ང་རྒྱལ་	NOUN
གྱིས་	གིས་	PART
༔		PUNCT
འོད་	འོད་	NOUN
དང་	དང་	NO_POS
འོད་ཟེར་	འོད་ཟེར་	NOUN
ཕྱོགས་	ཕྱོགས་	NOUN
བཅུ་		
འཕྲོ་	འཕྲོ་	NOUN
ས་	གིས་	PART
༔		PUNCT
ཕྱོགས་	ཕྱོགས་	NOUN
བཅུ་	བཅུ་	NUM
ཀུན་	ཀུན་	DET
ཀྱང་	ཀྱང་	PART
ཞི་	ཞི་	VERB
ཁྲོ་	ཁྲོ་	VERB
འི་	གི་	PART
ལྷ་	ལྷ་	NOUN
༔		PUNCT
རབ་ཏུ་	རབ་ཏུ་	NO_POS
གང་	གང་	NO_POS
ན་	ནས་	PART
འོད་འཕྲོ་	འོད་འཕྲོ་	NO_POS
ས་པ་	ས་པ་	PART
